round_index,test_id,source_file_index,source_session_dir,source_session_id,original_round_index,original_test_id,selected_step_count,selected_step_indices,ConstellationConfig,DegradedEdgeRatio,EdgeDisconnectRatio,EdgeBandwidthMeanDecreaseRatio,EdgeBandwidthDecreaseStd,PoissonRate,MeanIntervalTime,PacketGenerationInterval,PacketSizeMean,PacketSizeStd,StateObservationAttack_level,ActionAttack_level,StateTransferAttack_level,RewardAttack_level,ExperiencePoolAttack_level,ModelTampAttack_level,PacketLossRate,NetworkThroughput,BandwidthUtilization,AvgPacketNodeVisits,CumulativeReward,AverageInferenceTime,AverageE2eDelay,AverageHopCount,AverageComputingRatio,ComputingWaitingTime,AverageEndingReward
2,29,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,29,2,"90,100",4.0,0.4919896245808839,0.5056046035851893,0.5056046035851893,0.11877392990955468,42.944634716338356,17.356098564573138,3.5556032859435076,327987598.0,364085967.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5438000000000001,52.36450000000001,0.0027,4.0895,5.7274205,0.49050000000000005,2.2510000000000003,4.286,0.135,1.954,0.8611354699693234
2,30,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,30,2,"90,100",4.0,0.8191437033806962,0.0,0.7288940896662219,0.12891848157813074,42.19283969875892,20.08081244128043,3.6119651010808034,278958564.0,317301150.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0128,51.8555,0.0056,6.401,9.179171499999999,0.401,4.220000000000001,5.444,0.09584999999999999,1.9135,0.7363803964051896
2,31,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,31,2,"90,100",4.0,0.12024808912223289,0.5575560194227982,0.5864247957991449,0.08651183671884176,42.58522395701512,17.492138417712866,3.363474897601488,439566282.0,421200136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14350000000000002,148.2025,0.00285,5.5755,9.201077,0.529,2.975,4.7625,0.1192,2.6135,0.7972619856140253
2,32,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,32,2,"90,100",4.0,0.26855919472465284,0.3654532176979006,0.3654532176979006,0.12899338612425854,41.767601507865045,15.686180640865484,3.423480401386626,100000000.0,421099695.0,0.0,4.0,0.0,0.0,0.0,0.0,0.39075000000000004,37.0985,0.0022,5.4955,8.241366,0.4185,1.7919999999999998,5.0815,0.09915,1.634,0.7694543965759892
2,33,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,2,33,2,"90,100",4.0,0.5823452008851485,0.35622045638010874,0.35622045638010874,0.13276786501475846,43.156604832146016,16.582030284771644,3.1526292553066577,154872662.0,377148915.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8483,23.38,0.0054,5.025,-0.547785,0.588,1.3900000000000001,7.9,0.023350000000000003,1.0305,0.12508719920595443
3,34,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,3,34,2,"90,100",4.0,0.5960107395807895,0.5302115374328065,0.5302115374328065,0.10595738159912399,41.53009488599171,19.203371546530054,3.2075051420061635,535114135.0,500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65665,44.0375,0.0031000000000000003,3.311,2.114453,0.399,3.8899999999999997,4.131,0.10585,3.2720000000000002,0.7697905393679891
3,35,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,3,35,2,"90,100",4.0,1.0,0.059743961824950675,0.059743961824950675,0.19594609132200252,45.51825598720539,15.713988957840407,3.4857319352807457,124928011.0,500000000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.23115,95.413,0.0025,5.8975,9.810611,0.485,1.8745,5.057499999999999,0.07665,1.647,0.8692323128449077
3,36,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,3,36,2,"90,100",4.0,0.3566783743576346,0.8146045399384572,0.8146045399384572,0.028811033553335863,41.86965585582433,21.152315448873424,3.4361104698013443,100000000.0,161682177.0,3.0,0.0,0.0,0.0,0.0,0.0,0.78785,6.552,0.0008,3.8914999999999997,2.7977654999999997,0.469,0.87,5.3835,0.02835,0.698,0.9564912021155916
3,37,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,3,37,2,"90,100",4.0,0.4133218623600097,0.6094558569300093,0.6094558569300093,0.13218080325712817,43.62041396825993,17.23402134512398,3.5984501924811476,100000000.0,274582711.0,0.0,0.0,0.0,0.0,2.0,0.0,0.41664999999999996,28.369,0.0024000000000000002,4.2745,11.430373,0.39,0.8240000000000001,4.3309999999999995,0.07919999999999999,0.705,0.9241611387732056
3,38,0,failure_and_attribution_analysis\full_project_runs\20260514_103038\simulation_data\4\20260514_103038\current_session,session_0000,3,38,2,"90,100",4.0,0.2232947360166293,1.0,1.0,0.09738974039610263,41.88104379407532,19.090957891881935,3.606148948244231,100000000.0,150846897.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5545,3.7640000000000002,0.00035,3.8695,6.981803,0.4315,0.8085,4.393,0.0308,0.708,0.9595753907265925
